RemakeVoiceID,RemakeVoiceFilename,OldScriptId,OldVoiceFilename,MatchType,RemakeVoiceType,RemakeVoiceCharacterId,RemakeVoiceCategory,RemakeVoiceOrderPerCharacter,RemakeVoiceText,OldVoiceText
30001,v015_00_0001,6905,ch0010000001,exact,character_voice,015,main,0001,うーん……,うーん……
30002,v015_00_0002,6906,ch0010000002,exact,character_voice,015,main,0002,とーさん遅いなぁ。,とーさん遅いなぁ。
30003,v015_00_0003,6907,ch0010000003,exact,character_voice,015,main,0003,今日帰るってギルドから連絡があったのにぃ……,今日帰るってギルドから連絡があったのにぃ……
30004,v015_00_0004,6908,ch0010000004,exact,character_voice,015,main,0004,シェラねぇは修行で王国一周旅行してるし……,シェラねぇは修行で王国一周旅行してるし……
30005,v015_00_0005,6909,ch0010000005,exact,character_voice,015,main,0005,あー、つまんない。ゴハンの前にもういちど棒術の練習でもしよっかな。,あー、つまんない。ゴハンの前にもういちど棒術の練習でもしよっかな。
30006,v009_00_0001,6910,ch0160000006,exact,character_voice,009,main,0001,おーい、今帰ったぞ。,おーい、今帰ったぞ。
30007,v015_00_0006,6911,ch0010000007,exact,character_voice,015,main,0006,おとーさん！,おとーさん！
30008,v009_00_0002,6912,ch0160000008,exact,character_voice,009,main,0002,ただいま、エステル。待たせちまったようだな。,ただいま、エステル。待たせちまったようだな。
30009,v009_00_0003,6913,ch0160000009,exact,character_voice,009,main,0003,いい子で留守番していたか？,いい子で留守番していたか？
30010,v015_00_0007,6914,ch0010000010,exact,character_voice,015,main,0007,ふふん、あったりまえよ♪,ふふん、あったりまえよ☆
30011,v015_00_0008,6915,ch0010000011,exact,character_voice,015,main,0008,とーさんの方も何もなかった？,とーさんの方も何もなかった？
30012,v015_00_0009,6916,ch0010000012,exact,character_voice,015,main,0009,魔獣と戦ってケガしてない？,魔獣と戦ってケガしてない？
30013,v009_00_0004,6917,ch0160000013,exact,character_voice,009,main,0004,おお、ピンピンしてるぞ。,おお、ピンピンしてるぞ。
30014,v009_00_0005,6918,ch0160000014,exact,character_voice,009,main,0005,それよりエステル。実はお前にお土産があるんだ。,それよりエステル。実はお前にお土産があるんだ。
30015,v015_00_0010,6919,ch0010000015,exact,character_voice,015,main,0010,え、ホント！？,え、ホント！？
